2022_achievement_standard,count
"[9수02-16] 일차함수의 그래프의 성질을 이해하고, 이를 활용하여 문제를 해결할 수 있다.",410
"[9수02-15] 일차함수의 개념을 이해하고, 그 그래프를 그릴 수 있다.",230
"[9수02-08] 지수법칙을 이해하고, 이를 이용하여 식을 간단히 할 수 있다.",191
"[9수02-12] 일차부등식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",178
"[9수02-10] ‘(단항식)×(다항식)’, ‘(다항식)÷(단항식)’과 같은 곱셈과 나눗셈의 원리를 이해하고, 그 계산을 할 수 있다.",149
"[9수02-09] 다항식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.",137
"[9수02-11] 부등식과 그 해의 뜻을 알고, 부등식의 성질을 설명할 수 있다.",134
"[9수02-13] 미지수가 2개인 연립일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.",100
[9수02-17] 일차함수와 미지수가 2개인 일차방정식의 관계를 설명할 수 있다.,87
"[9수02-14] 함수의 개념을 이해하고, 함숫값을 구할 수 있다.",81
"[9수01-06] 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.",41
[9수02-18] 두 일차함수의 그래프와 연립일차방정식의 관계를 설명할 수 있다.,32
